Cancer type (ICD-10 codes),Cancer type,RD-stage,Sex,Age group (years),Years after diagnosis,Survival (%),95% lower bound,95% upper bound,95% confidence interval
Melanoma of the skin (C43),Melanoma of the skin,I,Males,0–39,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,I,Males,40–44,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,I,Males,45–49,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,I,Males,50–54,1,100.0,98.6,100.3,98.6–100.3
Melanoma of the skin (C43),Melanoma of the skin,I,Males,55–59,1,100.0,99.1,100.4,99.1–100.4
Melanoma of the skin (C43),Melanoma of the skin,I,Males,60–64,1,100.0,99.5,100.7,99.5–100.7
Melanoma of the skin (C43),Melanoma of the skin,I,Males,65–69,1,100.0,99.2,100.9,99.2–100.9
Melanoma of the skin (C43),Melanoma of the skin,I,Males,70–74,1,100.0,98.4,100.9,98.4–100.9
Melanoma of the skin (C43),Melanoma of the skin,I,Males,75–79,1,99.4,96.9,101.0,96.9–101.0
Melanoma of the skin (C43),Melanoma of the skin,I,Males,80–84,1,99.1,95.6,101.5,95.6–101.5
Melanoma of the skin (C43),Melanoma of the skin,I,Males,85+,1,100.0,97.5,106.5,97.5–106.5
Melanoma of the skin (C43),Melanoma of the skin,I,Males,Total,1,100.0,99.7,100.5,99.7–100.5
Melanoma of the skin (C43),Melanoma of the skin,I,Males,0–39,2,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,I,Males,40–44,2,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,I,Males,45–49,2,99.5,97.3,100.2,97.3–100.2
Melanoma of the skin (C43),Melanoma of the skin,I,Males,50–54,2,100.0,98.7,100.6,98.7–100.6
Melanoma of the skin (C43),Melanoma of the skin,I,Males,55–59,2,100.0,98.7,100.6,98.7–100.6
Melanoma of the skin (C43),Melanoma of the skin,I,Males,60–64,2,100.0,98.8,100.8,98.8–100.8
Melanoma of the skin (C43),Melanoma of the skin,I,Males,65–69,2,100.0,98.6,101.2,98.6–101.2
Melanoma of the skin (C43),Melanoma of the skin,I,Males,70–74,2,99.5,97.3,101.0,97.3–101.0
Melanoma of the skin (C43),Melanoma of the skin,I,Males,75–79,2,99.2,95.9,101.6,95.9–101.6
Melanoma of the skin (C43),Melanoma of the skin,I,Males,80–84,2,98.5,93.8,102.3,93.8–102.3
Melanoma of the skin (C43),Melanoma of the skin,I,Males,85+,2,100.0,93.2,107.7,93.2–107.7
Melanoma of the skin (C43),Melanoma of the skin,I,Males,Total,2,99.9,99.2,100.4,99.2–100.4
Melanoma of the skin (C43),Melanoma of the skin,I,Males,0–39,3,99.6,98.1,100.1,98.1–100.1
Melanoma of the skin (C43),Melanoma of the skin,I,Males,40–44,3,99.7,97.4,100.3,97.4–100.3
Melanoma of the skin (C43),Melanoma of the skin,I,Males,45–49,3,99.4,97.1,100.2,97.1–100.2
Melanoma of the skin (C43),Melanoma of the skin,I,Males,50–54,3,100.0,98.4,100.8,98.4–100.8
Melanoma of the skin (C43),Melanoma of the skin,I,Males,55–59,3,99.7,98.1,100.6,98.1–100.6
Melanoma of the skin (C43),Melanoma of the skin,I,Males,60–64,3,100.0,98.5,101.0,98.5–101.0
Melanoma of the skin (C43),Melanoma of the skin,I,Males,65–69,3,100.0,98.2,101.4,98.2–101.4
Melanoma of the skin (C43),Melanoma of the skin,I,Males,70–74,3,99.0,96.4,101.1,96.4–101.1
Melanoma of the skin (C43),Melanoma of the skin,I,Males,75–79,3,100.0,96.3,103.1,96.3–103.1
Melanoma of the skin (C43),Melanoma of the skin,I,Males,80–84,3,99.4,93.6,104.2,93.6–104.2
Melanoma of the skin (C43),Melanoma of the skin,I,Males,85+,3,100.0,90.6,109.6,90.6–109.6
Melanoma of the skin (C43),Melanoma of the skin,I,Males,Total,3,99.8,99.0,100.5,99.0–100.5
Melanoma of the skin (C43),Melanoma of the skin,I,Males,0–39,4,99.4,97.9,100.0,97.9–100.0
Melanoma of the skin (C43),Melanoma of the skin,I,Males,40–44,4,98.8,96.1,99.9,96.1–99.9
Melanoma of the skin (C43),Melanoma of the skin,I,Males,45–49,4,99.3,97.0,100.3,97.0–100.3
Melanoma of the skin (C43),Melanoma of the skin,I,Males,50–54,4,100.0,98.2,100.9,98.2–100.9
Melanoma of the skin (C43),Melanoma of the skin,I,Males,55–59,4,98.9,97.0,100.2,97.0–100.2
Melanoma of the skin (C43),Melanoma of the skin,I,Males,60–64,4,99.5,97.7,100.8,97.7–100.8
Melanoma of the skin (C43),Melanoma of the skin,I,Males,65–69,4,98.7,96.3,100.5,96.3–100.5
Melanoma of the skin (C43),Melanoma of the skin,I,Males,70–74,4,96.0,92.7,98.7,92.7–98.7
Melanoma of the skin (C43),Melanoma of the skin,I,Males,75–79,4,99.3,94.8,103.0,94.8–103.0
Melanoma of the skin (C43),Melanoma of the skin,I,Males,80–84,4,97.4,90.5,103.4,90.5–103.4
Melanoma of the skin (C43),Melanoma of the skin,I,Males,85+,4,100.0,89.4,112.9,89.4–112.9
Melanoma of the skin (C43),Melanoma of the skin,I,Males,Total,4,98.8,97.9,99.7,97.9–99.7
Melanoma of the skin (C43),Melanoma of the skin,I,Males,0–39,5,99.1,97.3,99.9,97.3–99.9
Melanoma of the skin (C43),Melanoma of the skin,I,Males,40–44,5,99.0,96.3,100.1,96.3–100.1
Melanoma of the skin (C43),Melanoma of the skin,I,Males,45–49,5,99.7,97.3,100.7,97.3–100.7
Melanoma of the skin (C43),Melanoma of the skin,I,Males,50–54,5,99.5,97.3,100.7,97.3–100.7
Melanoma of the skin (C43),Melanoma of the skin,I,Males,55–59,5,98.7,96.6,100.2,96.6–100.2
Melanoma of the skin (C43),Melanoma of the skin,I,Males,60–64,5,100.0,98.3,101.6,98.3–101.6
Melanoma of the skin (C43),Melanoma of the skin,I,Males,65–69,5,98.3,95.6,100.4,95.6–100.4
Melanoma of the skin (C43),Melanoma of the skin,I,Males,70–74,5,96.6,93.0,99.6,93.0–99.6
Melanoma of the skin (C43),Melanoma of the skin,I,Males,75–79,5,95.9,90.5,100.5,90.5–100.5
Melanoma of the skin (C43),Melanoma of the skin,I,Males,80–84,5,98.2,90.3,105.3,90.3–105.3
Melanoma of the skin (C43),Melanoma of the skin,I,Males,85+,5,100.0,89.2,117.6,89.2–117.6
Melanoma of the skin (C43),Melanoma of the skin,I,Males,Total,5,98.7,97.6,99.7,97.6–99.7
Melanoma of the skin (C43),Melanoma of the skin,II,Males,0–39,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,II,Males,40–44,1,91.3,69.3,97.9,69.3–97.9
Melanoma of the skin (C43),Melanoma of the skin,II,Males,45–49,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,II,Males,50–54,1,96.3,85.0,99.3,85.0–99.3
Melanoma of the skin (C43),Melanoma of the skin,II,Males,55–59,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,II,Males,60–64,1,95.6,89.6,98.5,89.6–98.5
Melanoma of the skin (C43),Melanoma of the skin,II,Males,65–69,1,96.7,90.5,99.3,90.5–99.3
Melanoma of the skin (C43),Melanoma of the skin,II,Males,70–74,1,92.1,85.1,96.4,85.1–96.4
Melanoma of the skin (C43),Melanoma of the skin,II,Males,75–79,1,96.5,89.6,100.2,89.6–100.2
Melanoma of the skin (C43),Melanoma of the skin,II,Males,80–84,1,91.4,84.7,96.2,84.7–96.2
Melanoma of the skin (C43),Melanoma of the skin,II,Males,85+,1,88.9,80.7,95.4,80.7–95.4
Melanoma of the skin (C43),Melanoma of the skin,II,Males,Total,1,94.2,92.1,96.0,92.1–96.0
Melanoma of the skin (C43),Melanoma of the skin,II,Males,0–39,2,91.7,70.3,98.0,70.3–98.0
Melanoma of the skin (C43),Melanoma of the skin,II,Males,45–49,2,98.4,86.4,100.2,86.4–100.2
Melanoma of the skin (C43),Melanoma of the skin,II,Males,50–54,2,92.5,80.3,97.6,80.3–97.6
Melanoma of the skin (C43),Melanoma of the skin,II,Males,55–59,2,99.5,90.2,100.9,90.2–100.9
Melanoma of the skin (C43),Melanoma of the skin,II,Males,60–64,2,87.9,80.1,93.0,80.1–93.0
Melanoma of the skin (C43),Melanoma of the skin,II,Males,65–69,2,92.3,84.6,96.8,84.6–96.8
Melanoma of the skin (C43),Melanoma of the skin,II,Males,70–74,2,80.5,71.5,87.4,71.5–87.4
Melanoma of the skin (C43),Melanoma of the skin,II,Males,75–79,2,83.4,73.7,90.7,73.7–90.7
Melanoma of the skin (C43),Melanoma of the skin,II,Males,80–84,2,80.6,72.0,87.9,72.0–87.9
Melanoma of the skin (C43),Melanoma of the skin,II,Males,85+,2,71.2,60.7,81.0,60.7–81.0
Melanoma of the skin (C43),Melanoma of the skin,II,Males,Total,2,84.9,81.9,87.6,81.9–87.6
Melanoma of the skin (C43),Melanoma of the skin,II,Males,0–39,3,91.8,70.4,98.1,70.4–98.1
Melanoma of the skin (C43),Melanoma of the skin,II,Males,45–49,3,94.5,82.5,98.7,82.5–98.7
Melanoma of the skin (C43),Melanoma of the skin,II,Males,50–54,3,84.6,70.8,92.5,70.8–92.5
Melanoma of the skin (C43),Melanoma of the skin,II,Males,55–59,3,92.2,81.6,97.3,81.6–97.3
Melanoma of the skin (C43),Melanoma of the skin,II,Males,60–64,3,82.5,73.9,88.8,73.9–88.8
Melanoma of the skin (C43),Melanoma of the skin,II,Males,65–69,3,89.8,81.4,95.3,81.4–95.3
Melanoma of the skin (C43),Melanoma of the skin,II,Males,70–74,3,74.5,64.7,82.5,64.7–82.5
Melanoma of the skin (C43),Melanoma of the skin,II,Males,75–79,3,77.0,66.2,85.9,66.2–85.9
Melanoma of the skin (C43),Melanoma of the skin,II,Males,80–84,3,71.7,62.0,80.6,62.0–80.6
Melanoma of the skin (C43),Melanoma of the skin,II,Males,85+,3,57.6,46.1,69.2,46.1–69.2
Melanoma of the skin (C43),Melanoma of the skin,II,Males,Total,3,78.2,74.8,81.4,74.8–81.4
Melanoma of the skin (C43),Melanoma of the skin,II,Males,0–39,4,87.7,66.0,96.1,66.0–96.1
Melanoma of the skin (C43),Melanoma of the skin,II,Males,45–49,4,81.9,67.5,90.6,67.5–90.6
Melanoma of the skin (C43),Melanoma of the skin,II,Males,50–54,4,81.0,66.5,89.9,66.5–89.9
Melanoma of the skin (C43),Melanoma of the skin,II,Males,55–59,4,84.6,72.5,92.2,72.5–92.2
Melanoma of the skin (C43),Melanoma of the skin,II,Males,60–64,4,78.9,69.8,85.9,69.8–85.9
Melanoma of the skin (C43),Melanoma of the skin,II,Males,65–69,4,84.4,75.0,91.3,75.0–91.3
Melanoma of the skin (C43),Melanoma of the skin,II,Males,70–74,4,74.0,63.8,82.4,63.8–82.4
Melanoma of the skin (C43),Melanoma of the skin,II,Males,75–79,4,69.1,57.4,79.3,57.4–79.3
Melanoma of the skin (C43),Melanoma of the skin,II,Males,80–84,4,66.0,55.4,76.0,55.4–76.0
Melanoma of the skin (C43),Melanoma of the skin,II,Males,85+,4,52.8,40.3,66.0,40.3–66.0
Melanoma of the skin (C43),Melanoma of the skin,II,Males,Total,4,73.2,69.5,76.7,69.5–76.7
Melanoma of the skin (C43),Melanoma of the skin,II,Males,0–39,5,87.8,66.1,96.2,66.1–96.2
Melanoma of the skin (C43),Melanoma of the skin,II,Males,45–49,5,80.1,65.4,89.3,65.4–89.3
Melanoma of the skin (C43),Melanoma of the skin,II,Males,50–54,5,77.2,62.4,87.2,62.4–87.2
Melanoma of the skin (C43),Melanoma of the skin,II,Males,55–59,5,80.3,67.5,89.0,67.5–89.0
Melanoma of the skin (C43),Melanoma of the skin,II,Males,60–64,5,77.1,67.7,84.5,67.7–84.5
Melanoma of the skin (C43),Melanoma of the skin,II,Males,65–69,5,80.0,69.9,87.8,69.9–87.8
Melanoma of the skin (C43),Melanoma of the skin,II,Males,70–74,5,70.9,60.3,80.0,60.3–80.0
Melanoma of the skin (C43),Melanoma of the skin,II,Males,75–79,5,60.5,48.4,71.7,48.4–71.7
Melanoma of the skin (C43),Melanoma of the skin,II,Males,80–84,5,62.8,51.4,74.0,51.4–74.0
Melanoma of the skin (C43),Melanoma of the skin,II,Males,85+,5,43.2,30.5,57.7,30.5–57.7
Melanoma of the skin (C43),Melanoma of the skin,II,Males,Total,5,69.2,65.3,72.9,65.3–72.9
Melanoma of the skin (C43),Melanoma of the skin,III,Males,0–39,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,III,Males,55–59,1,92.3,71.3,98.4,71.3–98.4
Melanoma of the skin (C43),Melanoma of the skin,III,Males,60–64,1,94.6,78.1,99.2,78.1–99.2
Melanoma of the skin (C43),Melanoma of the skin,III,Males,65–69,1,93.0,72.0,99.1,72.0–99.1
Melanoma of the skin (C43),Melanoma of the skin,III,Males,70–74,1,92.7,69.2,99.7,69.2–99.7
Melanoma of the skin (C43),Melanoma of the skin,III,Males,Total,1,93.6,88.8,96.7,88.8–96.7
Melanoma of the skin (C43),Melanoma of the skin,III,Males,0–39,2,95.6,71.7,99.5,71.7–99.5
Melanoma of the skin (C43),Melanoma of the skin,III,Males,55–59,2,84.6,62.9,94.6,62.9–94.6
Melanoma of the skin (C43),Melanoma of the skin,III,Males,60–64,2,79.4,60.5,90.4,60.5–90.4
Melanoma of the skin (C43),Melanoma of the skin,III,Males,65–69,2,78.2,56.0,90.9,56.0–90.9
Melanoma of the skin (C43),Melanoma of the skin,III,Males,Total,2,79.9,73.2,85.3,73.2–85.3
Melanoma of the skin (C43),Melanoma of the skin,III,Males,0–39,3,95.7,71.7,99.6,71.7–99.6
Melanoma of the skin (C43),Melanoma of the skin,III,Males,60–64,3,70.4,50.8,83.9,50.8–83.9
Melanoma of the skin (C43),Melanoma of the skin,III,Males,Total,3,69.0,61.6,75.4,61.6–75.4
Melanoma of the skin (C43),Melanoma of the skin,III,Males,0–39,4,91.2,68.5,98.0,68.5–98.0
Melanoma of the skin (C43),Melanoma of the skin,III,Males,60–64,4,61.5,41.9,76.7,41.9–76.7
Melanoma of the skin (C43),Melanoma of the skin,III,Males,Total,4,61.0,53.3,68.0,53.3–68.0
Melanoma of the skin (C43),Melanoma of the skin,III,Males,Total,5,55.7,47.9,63.0,47.9–63.0
Melanoma of the skin (C43),Melanoma of the skin,IV,Males,Total,1,54.5,46.2,62.0,46.2–62.0
Melanoma of the skin (C43),Melanoma of the skin,IV,Males,Total,2,35.7,28.2,43.4,28.2–43.4
Melanoma of the skin (C43),Melanoma of the skin,IV,Males,Total,3,32.4,25.0,40.1,25.0–40.1
Melanoma of the skin (C43),Melanoma of the skin,IV,Males,Total,4,28.9,21.7,36.7,21.7–36.7
Melanoma of the skin (C43),Melanoma of the skin,IV,Males,Total,5,26.8,19.7,34.6,19.7–34.6
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Males,60–64,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Males,65–69,1,97.7,78.6,100.8,78.6–100.8
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Males,Total,1,97.0,92.6,99.4,92.6–99.4
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Males,60–64,2,98.0,78.2,101.2,78.2–101.2
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Males,65–69,2,95.6,76.9,100.9,76.9–100.9
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Males,Total,2,92.6,86.9,96.5,86.9–96.5
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Males,60–64,3,98.9,78.9,102.1,78.9–102.1
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Males,65–69,3,97.0,78.1,102.4,78.1–102.4
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Males,Total,3,92.7,86.6,97.0,86.6–97.0
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Males,60–64,4,92.7,73.1,100.0,73.1–100.0
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Males,65–69,4,95.0,75.4,102.4,75.4–102.4
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Males,Total,4,90.6,84.0,95.6,84.0–95.6
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Males,60–64,5,93.7,73.9,101.2,73.9–101.2
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Males,65–69,5,96.7,76.8,104.2,76.8–104.2
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Males,Total,5,90.8,83.8,96.1,83.8–96.1
Melanoma of the skin (C43),Melanoma of the skin,I,Females,0–39,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,I,Females,40–44,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,I,Females,45–49,1,99.9,98.1,100.1,98.1–100.1
Melanoma of the skin (C43),Melanoma of the skin,I,Females,50–54,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,I,Females,55–59,1,100.0,98.5,100.3,98.5–100.3
Melanoma of the skin (C43),Melanoma of the skin,I,Females,60–64,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,I,Females,65–69,1,100.0,98.9,100.7,98.9–100.7
Melanoma of the skin (C43),Melanoma of the skin,I,Females,70–74,1,100.0,98.5,100.9,98.5–100.9
Melanoma of the skin (C43),Melanoma of the skin,I,Females,75–79,1,100.0,97.9,101.7,97.9–101.7
Melanoma of the skin (C43),Melanoma of the skin,I,Females,80–84,1,99.2,95.5,101.4,95.5–101.4
Melanoma of the skin (C43),Melanoma of the skin,I,Females,85+,1,100.0,96.1,105.7,96.1–105.7
Melanoma of the skin (C43),Melanoma of the skin,I,Females,Total,1,100.0,99.8,100.5,99.8–100.5
Melanoma of the skin (C43),Melanoma of the skin,I,Females,0–39,2,99.9,98.8,100.1,98.8–100.1
