Cancer type (ICD-10 codes),Cancer type,RD-stage,Sex,Age group (years),Years after diagnosis,Survival (%),95% lower bound,95% upper bound,95% confidence interval
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,70–74,4,97.0,94.7,99.0,94.7–99.0
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,75–79,4,97.6,94.2,100.6,94.2–100.6
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,80–84,4,97.9,93.0,102.2,93.0–102.2
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,85+,4,100.0,98.4,115.2,98.4–115.2
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,Total,4,99.1,98.5,99.8,98.5–99.8
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,0–39,5,99.2,98.3,99.7,98.3–99.7
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,40–44,5,99.2,97.7,100.0,97.7–100.0
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,45–49,5,99.4,98.0,100.1,98.0–100.1
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,50–54,5,99.7,98.3,100.5,98.3–100.5
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,55–59,5,98.8,97.3,99.9,97.3–99.9
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,60–64,5,100.0,99.2,101.4,99.2–101.4
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,65–69,5,98.4,96.5,100.0,96.5–100.0
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,70–74,5,97.6,95.1,99.8,95.1–99.8
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,75–79,5,95.4,91.4,99.0,91.4–99.0
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,80–84,5,100.0,94.5,105.0,94.5–105.0
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,85+,5,100.0,98.5,119.0,98.5–119.0
Melanoma of the skin (C43),Melanoma of the skin,I,Persons,Total,5,99.2,98.5,99.9,98.5–99.9
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,0–39,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,40–44,1,94.5,79.5,98.7,79.5–98.7
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,45–49,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,50–54,1,97.7,90.3,99.7,90.3–99.7
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,55–59,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,60–64,1,97.1,92.8,99.1,92.8–99.1
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,65–69,1,97.5,93.2,99.5,93.2–99.5
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,70–74,1,94.6,89.6,97.6,89.6–97.6
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,75–79,1,98.1,93.4,100.6,93.4–100.6
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,80–84,1,93.0,88.0,96.7,88.0–96.7
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,85+,1,93.1,87.6,97.7,87.6–97.7
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,Total,1,96.0,94.5,97.3,94.5–97.3
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,0–39,2,96.0,84.6,99.1,84.6–99.1
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,40–44,2,89.0,73.0,95.9,73.0–95.9
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,45–49,2,98.9,90.3,100.2,90.3–100.2
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,50–54,2,94.1,85.7,97.9,85.7–97.9
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,55–59,2,98.0,92.1,100.0,92.1–100.0
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,60–64,2,91.2,85.4,95.0,85.4–95.0
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,65–69,2,93.1,87.5,96.7,87.5–96.7
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,70–74,2,84.9,78.2,90.1,78.2–90.1
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,75–79,2,87.7,80.7,93.1,80.7–93.1
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,80–84,2,83.6,76.9,89.3,76.9–89.3
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,85+,2,79.3,71.7,86.3,71.7–86.3
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,Total,2,88.2,86.0,90.2,86.0–90.2
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,0–39,3,96.1,84.7,99.2,84.7–99.2
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,40–44,3,80.5,63.0,90.4,63.0–90.4
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,45–49,3,94.8,85.7,98.4,85.7–98.4
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,50–54,3,89.2,79.5,94.7,79.5–94.7
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,55–59,3,92.7,85.2,96.8,85.2–96.8
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,60–64,3,85.7,79.0,90.7,79.0–90.7
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,65–69,3,91.2,85.0,95.5,85.0–95.5
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,70–74,3,78.5,70.9,84.7,70.9–84.7
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,75–79,3,81.7,73.7,88.3,73.7–88.3
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,80–84,3,76.7,69.0,83.6,69.0–83.6
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,85+,3,66.7,57.9,75.2,57.9–75.2
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,Total,3,82.0,79.4,84.5,79.4–84.5
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,0–39,4,89.9,77.2,95.9,77.2–95.9
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,40–44,4,80.6,63.1,90.5,63.1–90.5
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,45–49,4,86.0,75.0,92.6,75.0–92.6
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,50–54,4,85.6,75.2,92.1,75.2–92.1
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,55–59,4,87.3,78.7,92.9,78.7–92.9
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,60–64,4,80.9,73.5,86.6,73.5–86.6
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,65–69,4,86.8,79.7,92.0,79.7–92.0
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,70–74,4,78.0,70.1,84.6,70.1–84.6
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,75–79,4,74.6,65.7,82.3,65.7–82.3
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,80–84,4,69.7,61.3,77.7,61.3–77.7
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,85+,4,61.8,52.1,71.8,52.1–71.8
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,Total,4,77.2,74.3,79.9,74.3–79.9
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,0–39,5,90.0,77.3,95.9,77.3–95.9
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,40–44,5,80.7,63.2,90.7,63.2–90.7
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,45–49,5,83.3,71.7,90.6,71.7–90.6
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,50–54,5,83.3,72.6,90.4,72.6–90.4
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,55–59,5,82.8,73.5,89.4,73.5–89.4
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,60–64,5,79.8,72.2,85.8,72.2–85.8
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,65–69,5,83.0,75.4,89.0,75.4–89.0
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,70–74,5,74.7,66.4,81.9,66.4–81.9
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,75–79,5,67.8,58.4,76.3,58.4–76.3
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,80–84,5,68.8,59.6,77.5,59.6–77.5
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,85+,5,51.8,41.5,62.9,41.5–62.9
Melanoma of the skin (C43),Melanoma of the skin,II,Persons,Total,5,73.6,70.5,76.5,70.5–76.5
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,0–39,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,50–54,1,94.3,78.4,98.8,78.4–98.8
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,55–59,1,94.6,79.0,99.0,79.0–99.0
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,60–64,1,94.4,82.3,98.6,82.3–98.6
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,65–69,1,92.2,75.8,98.2,75.8–98.2
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,70–74,1,93.6,78.4,99.1,78.4–99.1
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,75–79,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,80–84,1,76.7,56.9,89.6,56.9–89.6
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,Total,1,92.9,89.2,95.5,89.2–95.5
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,0–39,2,94.8,80.4,98.8,80.4–98.8
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,50–54,2,85.7,68.3,94.1,68.3–94.1
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,55–59,2,83.4,66.0,92.7,66.0–92.7
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,60–64,2,82.2,67.6,91.0,67.6–91.0
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,65–69,2,78.5,60.1,89.7,60.1–89.7
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,70–74,2,67.5,49.3,80.9,49.3–80.9
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,80–84,2,67.7,46.5,84.2,46.5–84.2
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,Total,2,80.5,75.4,84.8,75.4–84.8
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,0–39,3,94.9,80.4,98.9,80.4–98.9
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,50–54,3,70.2,51.3,83.1,51.3–83.1
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,55–59,3,72.0,53.5,84.5,53.5–84.5
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,60–64,3,69.7,54.0,81.2,54.0–81.2
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,65–69,3,61.3,42.5,76.1,42.5–76.1
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,70–74,3,63.1,44.7,77.6,44.7–77.6
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,Total,3,70.8,65.1,75.9,65.1–75.9
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,0–39,4,89.7,74.4,96.2,74.4–96.2
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,50–54,4,67.4,48.4,80.9,48.4–80.9
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,55–59,4,66.5,47.9,80.2,47.9–80.2
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,60–64,4,63.7,47.8,76.3,47.8–76.3
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,70–74,4,55.8,37.5,71.5,37.5–71.5
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,Total,4,65.3,59.4,70.7,59.4–70.7
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,0–39,5,84.4,68.1,92.9,68.1–92.9
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,50–54,5,64.6,45.5,78.7,45.5–78.7
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,55–59,5,60.8,42.1,75.5,42.1–75.5
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,60–64,5,62.2,46.1,75.1,46.1–75.1
Melanoma of the skin (C43),Melanoma of the skin,III,Persons,Total,5,61.1,55.1,66.8,55.1–66.8
Melanoma of the skin (C43),Melanoma of the skin,IV,Persons,60–64,1,62.0,43.7,76.0,43.7–76.0
Melanoma of the skin (C43),Melanoma of the skin,IV,Persons,65–69,1,70.1,50.0,83.6,50.0–83.6
Melanoma of the skin (C43),Melanoma of the skin,IV,Persons,Total,1,55.3,48.5,61.6,48.5–61.6
Melanoma of the skin (C43),Melanoma of the skin,IV,Persons,Total,2,37.8,31.4,44.2,31.4–44.2
Melanoma of the skin (C43),Melanoma of the skin,IV,Persons,Total,3,32.3,26.1,38.6,26.1–38.6
Melanoma of the skin (C43),Melanoma of the skin,IV,Persons,Total,4,28.8,22.8,35.1,22.8–35.1
Melanoma of the skin (C43),Melanoma of the skin,IV,Persons,Total,5,26.2,20.3,32.4,20.3–32.4
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,0–39,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,45–49,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,50–54,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,55–59,1,97.3,80.2,100.0,80.2–100.0
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,60–64,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,65–69,1,99.1,87.7,100.8,87.7–100.8
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,70–74,1,93.5,72.6,99.6,72.6–99.6
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,75–79,1,98.7,74.5,102.7,74.5–102.7
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,80–84,1,92.2,69.3,101.1,69.3–101.1
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,Total,1,96.6,93.5,98.6,93.5–98.6
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,0–39,2,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,45–49,2,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,50–54,2,93.8,75.9,98.8,75.9–98.8
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,55–59,2,97.8,80.6,100.5,80.6–100.5
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,60–64,2,99.0,85.3,101.1,85.3–101.1
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,65–69,2,98.2,87.0,101.2,87.0–101.2
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,70–74,2,95.3,74.0,101.6,74.0–101.6
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,75–79,2,100.0,77.2,106.4,77.2–106.4
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,Total,2,94.2,90.4,97.0,90.4–97.0
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,0–39,3,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,45–49,3,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,50–54,3,94.1,76.2,99.2,76.2–99.2
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,55–59,3,92.1,75.1,98.3,75.1–98.3
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,60–64,3,99.8,86.0,102.0,86.0–102.0
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,65–69,3,95.3,83.2,100.4,83.2–100.4
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,70–74,3,97.3,75.5,103.7,75.5–103.7
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,75–79,3,100.0,76.1,108.8,76.1–108.8
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,Total,3,92.9,88.6,96.1,88.6–96.1
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,0–39,4,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,45–49,4,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,50–54,4,91.0,72.8,97.9,72.8–97.9
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,55–59,4,89.4,71.7,97.1,71.7–97.1
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,60–64,4,95.9,82.1,100.8,82.1–100.8
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,65–69,4,94.6,81.8,100.5,81.8–100.5
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,70–74,4,99.6,77.3,106.1,77.3–106.1
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,Total,4,90.8,86.1,94.6,86.1–94.6
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,0–39,5,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,45–49,5,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,50–54,5,91.4,73.1,98.2,73.1–98.2
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,55–59,5,86.7,68.4,95.7,68.4–95.7
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,60–64,5,96.8,82.8,101.7,82.8–101.7
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,65–69,5,96.0,83.0,102.0,83.0–102.0
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,70–74,5,93.3,69.6,104.1,69.6–104.1
Melanoma of the skin (C43),Melanoma of the skin,Stage unknown,Persons,Total,5,90.8,85.8,94.7,85.8–94.7