Data type,Cancer group/site,Year,Sex,Age group (years),Count
Actual,Melanoma of the skin,1994,Females,05–09,1
Actual,Melanoma of the skin,1994,Females,10–14,2
Actual,Melanoma of the skin,1994,Females,15–19,38
Actual,Melanoma of the skin,1994,Females,20–24,112
Actual,Melanoma of the skin,1994,Females,25–29,139
Actual,Melanoma of the skin,1994,Females,30–34,198
Actual,Melanoma of the skin,1994,Females,35–39,223
Actual,Melanoma of the skin,1994,Females,40–44,298
Actual,Melanoma of the skin,1994,Females,45–49,316
Actual,Melanoma of the skin,1994,Females,50–54,269
Actual,Melanoma of the skin,1994,Females,55–59,225
Actual,Melanoma of the skin,1994,Females,60–64,250
Actual,Melanoma of the skin,1994,Females,65–69,306
Actual,Melanoma of the skin,1994,Females,70–74,277
Actual,Melanoma of the skin,1994,Females,75–79,193
Actual,Melanoma of the skin,1994,Females,80–84,152
Actual,Melanoma of the skin,1994,Females,85–89,88
Actual,Melanoma of the skin,1994,Females,90+,30
Actual,Melanoma of the skin,1995,Females,00–04,1
Actual,Melanoma of the skin,1995,Females,05–09,1
Actual,Melanoma of the skin,1995,Females,10–14,5
Actual,Melanoma of the skin,1995,Females,15–19,44
Actual,Melanoma of the skin,1995,Females,20–24,120
Actual,Melanoma of the skin,1995,Females,25–29,176
Actual,Melanoma of the skin,1995,Females,30–34,274
Actual,Melanoma of the skin,1995,Females,35–39,269
Actual,Melanoma of the skin,1995,Females,40–44,274
Actual,Melanoma of the skin,1995,Females,45–49,329
Actual,Melanoma of the skin,1995,Females,50–54,270
Actual,Melanoma of the skin,1995,Females,55–59,237
Actual,Melanoma of the skin,1995,Females,60–64,256
Actual,Melanoma of the skin,1995,Females,65–69,284
Actual,Melanoma of the skin,1995,Females,70–74,266
Actual,Melanoma of the skin,1995,Females,75–79,225
Actual,Melanoma of the skin,1995,Females,80–84,166
Actual,Melanoma of the skin,1995,Females,85–89,94
Actual,Melanoma of the skin,1995,Females,90+,31
Actual,Melanoma of the skin,1996,Females,00–04,1
Actual,Melanoma of the skin,1996,Females,05–09,4
Actual,Melanoma of the skin,1996,Females,10–14,17
Actual,Melanoma of the skin,1996,Females,15–19,61
Actual,Melanoma of the skin,1996,Females,20–24,104
Actual,Melanoma of the skin,1996,Females,25–29,163
Actual,Melanoma of the skin,1996,Females,30–34,233
Actual,Melanoma of the skin,1996,Females,35–39,283
Actual,Melanoma of the skin,1996,Females,40–44,295
Actual,Melanoma of the skin,1996,Females,45–49,325
Actual,Melanoma of the skin,1996,Females,50–54,326
Actual,Melanoma of the skin,1996,Females,55–59,256
Actual,Melanoma of the skin,1996,Females,60–64,277
Actual,Melanoma of the skin,1996,Females,65–69,282
Actual,Melanoma of the skin,1996,Females,70–74,306
Actual,Melanoma of the skin,1996,Females,75–79,225
Actual,Melanoma of the skin,1996,Females,80–84,174
Actual,Melanoma of the skin,1996,Females,85–89,107
Actual,Melanoma of the skin,1996,Females,90+,41
Actual,Melanoma of the skin,1997,Females,00–04,0
Actual,Melanoma of the skin,1997,Females,05–09,0
Actual,Melanoma of the skin,1997,Females,10–14,7
Actual,Melanoma of the skin,1997,Females,15–19,63
Actual,Melanoma of the skin,1997,Females,20–24,116
Actual,Melanoma of the skin,1997,Females,25–29,178
Actual,Melanoma of the skin,1997,Females,30–34,231
Actual,Melanoma of the skin,1997,Females,35–39,291
Actual,Melanoma of the skin,1997,Females,40–44,343
Actual,Melanoma of the skin,1997,Females,45–49,349
Actual,Melanoma of the skin,1997,Females,50–54,376
Actual,Melanoma of the skin,1997,Females,55–59,294
Actual,Melanoma of the skin,1997,Females,60–64,271
Actual,Melanoma of the skin,1997,Females,65–69,307
Actual,Melanoma of the skin,1997,Females,70–74,311
Actual,Melanoma of the skin,1997,Females,75–79,270
Actual,Melanoma of the skin,1997,Females,80–84,177
Actual,Melanoma of the skin,1997,Females,85–89,119
Actual,Melanoma of the skin,1997,Females,90+,45
Actual,Melanoma of the skin,1998,Females,00–04,1
Actual,Melanoma of the skin,1998,Females,05–09,1
Actual,Melanoma of the skin,1998,Females,10–14,6
Actual,Melanoma of the skin,1998,Females,15–19,36
Actual,Melanoma of the skin,1998,Females,20–24,93
Actual,Melanoma of the skin,1998,Females,25–29,151
Actual,Melanoma of the skin,1998,Females,30–34,242
Actual,Melanoma of the skin,1998,Females,35–39,264
Actual,Melanoma of the skin,1998,Females,40–44,307
Actual,Melanoma of the skin,1998,Females,45–49,317
Actual,Melanoma of the skin,1998,Females,50–54,357
Actual,Melanoma of the skin,1998,Females,55–59,290
Actual,Melanoma of the skin,1998,Females,60–64,295
Actual,Melanoma of the skin,1998,Females,65–69,274
Actual,Melanoma of the skin,1998,Females,70–74,267
Actual,Melanoma of the skin,1998,Females,75–79,267
Actual,Melanoma of the skin,1998,Females,80–84,179
Actual,Melanoma of the skin,1998,Females,85–89,129
Actual,Melanoma of the skin,1998,Females,90+,41
Actual,Melanoma of the skin,1999,Females,00–04,1
Actual,Melanoma of the skin,1999,Females,05–09,2
Actual,Melanoma of the skin,1999,Females,10–14,7
Actual,Melanoma of the skin,1999,Females,15–19,34
Actual,Melanoma of the skin,1999,Females,20–24,119
Actual,Melanoma of the skin,1999,Females,25–29,148
Actual,Melanoma of the skin,1999,Females,30–34,208
Actual,Melanoma of the skin,1999,Females,35–39,279
Actual,Melanoma of the skin,1999,Females,40–44,299
Actual,Melanoma of the skin,1999,Females,45–49,388
Actual,Melanoma of the skin,1999,Females,50–54,379
Actual,Melanoma of the skin,1999,Females,55–59,296
Actual,Melanoma of the skin,1999,Females,60–64,256
Actual,Melanoma of the skin,1999,Females,65–69,290
Actual,Melanoma of the skin,1999,Females,70–74,302
Actual,Melanoma of the skin,1999,Females,75–79,274
Actual,Melanoma of the skin,1999,Females,80–84,209
Actual,Melanoma of the skin,1999,Females,85–89,112
Actual,Melanoma of the skin,1999,Females,90+,59
Actual,Melanoma of the skin,2000,Females,00–04,0
Actual,Melanoma of the skin,2000,Females,05–09,1
Actual,Melanoma of the skin,2000,Females,10–14,5
Actual,Melanoma of the skin,2000,Females,15–19,38
Actual,Melanoma of the skin,2000,Females,20–24,93
Actual,Melanoma of the skin,2000,Females,25–29,151
Actual,Melanoma of the skin,2000,Females,30–34,219
Actual,Melanoma of the skin,2000,Females,35–39,302
Actual,Melanoma of the skin,2000,Females,40–44,315
Actual,Melanoma of the skin,2000,Females,45–49,356
Actual,Melanoma of the skin,2000,Females,50–54,371
Actual,Melanoma of the skin,2000,Females,55–59,313
Actual,Melanoma of the skin,2000,Females,60–64,283
Actual,Melanoma of the skin,2000,Females,65–69,306
Actual,Melanoma of the skin,2000,Females,70–74,327
Actual,Melanoma of the skin,2000,Females,75–79,341
Actual,Melanoma of the skin,2000,Females,80–84,206
Actual,Melanoma of the skin,2000,Females,85–89,135
Actual,Melanoma of the skin,2000,Females,90+,67
Actual,Melanoma of the skin,2001,Females,00–04,1
Actual,Melanoma of the skin,2001,Females,05–09,5
Actual,Melanoma of the skin,2001,Females,10–14,7
Actual,Melanoma of the skin,2001,Females,15–19,41
Actual,Melanoma of the skin,2001,Females,20–24,79
Actual,Melanoma of the skin,2001,Females,25–29,145
Actual,Melanoma of the skin,2001,Females,30–34,218
Actual,Melanoma of the skin,2001,Females,35–39,279
Actual,Melanoma of the skin,2001,Females,40–44,350
Actual,Melanoma of the skin,2001,Females,45–49,350
Actual,Melanoma of the skin,2001,Females,50–54,418
Actual,Melanoma of the skin,2001,Females,55–59,330
Actual,Melanoma of the skin,2001,Females,60–64,318
Actual,Melanoma of the skin,2001,Females,65–69,304
Actual,Melanoma of the skin,2001,Females,70–74,345
Actual,Melanoma of the skin,2001,Females,75–79,308
Actual,Melanoma of the skin,2001,Females,80–84,216
Actual,Melanoma of the skin,2001,Females,85–89,133
Actual,Melanoma of the skin,2001,Females,90+,52
Actual,Melanoma of the skin,2002,Females,00–04,1
Actual,Melanoma of the skin,2002,Females,05–09,4
Actual,Melanoma of the skin,2002,Females,10–14,10
Actual,Melanoma of the skin,2002,Females,15–19,42
Actual,Melanoma of the skin,2002,Females,20–24,93
Actual,Melanoma of the skin,2002,Females,25–29,146
Actual,Melanoma of the skin,2002,Females,30–34,220
Actual,Melanoma of the skin,2002,Females,35–39,253
Actual,Melanoma of the skin,2002,Females,40–44,325
Actual,Melanoma of the skin,2002,Females,45–49,401
Actual,Melanoma of the skin,2002,Females,50–54,434
Actual,Melanoma of the skin,2002,Females,55–59,424
Actual,Melanoma of the skin,2002,Females,60–64,379
Actual,Melanoma of the skin,2002,Females,65–69,331
Actual,Melanoma of the skin,2002,Females,70–74,345
Actual,Melanoma of the skin,2002,Females,75–79,321
Actual,Melanoma of the skin,2002,Females,80–84,273
Actual,Melanoma of the skin,2002,Females,85–89,164
Actual,Melanoma of the skin,2002,Females,90+,71
Actual,Melanoma of the skin,2003,Females,00–04,0
Actual,Melanoma of the skin,2003,Females,05–09,2
Actual,Melanoma of the skin,2003,Females,10–14,5
Actual,Melanoma of the skin,2003,Females,15–19,31
Actual,Melanoma of the skin,2003,Females,20–24,95
Actual,Melanoma of the skin,2003,Females,25–29,123
Actual,Melanoma of the skin,2003,Females,30–34,211
Actual,Melanoma of the skin,2003,Females,35–39,261
Actual,Melanoma of the skin,2003,Females,40–44,330
Actual,Melanoma of the skin,2003,Females,45–49,370
Actual,Melanoma of the skin,2003,Females,50–54,398
Actual,Melanoma of the skin,2003,Females,55–59,405
Actual,Melanoma of the skin,2003,Females,60–64,333
Actual,Melanoma of the skin,2003,Females,65–69,343
Actual,Melanoma of the skin,2003,Females,70–74,332
Actual,Melanoma of the skin,2003,Females,75–79,300
Actual,Melanoma of the skin,2003,Females,80–84,252
Actual,Melanoma of the skin,2003,Females,85–89,169
Actual,Melanoma of the skin,2003,Females,90+,70
Actual,Melanoma of the skin,2004,Females,00–04,0
Actual,Melanoma of the skin,2004,Females,05–09,0
Actual,Melanoma of the skin,2004,Females,10–14,5
Actual,Melanoma of the skin,2004,Females,15–19,34
Actual,Melanoma of the skin,2004,Females,20–24,91
Actual,Melanoma of the skin,2004,Females,25–29,137
Actual,Melanoma of the skin,2004,Females,30–34,217
Actual,Melanoma of the skin,2004,Females,35–39,235
Actual,Melanoma of the skin,2004,Females,40–44,313
Actual,Melanoma of the skin,2004,Females,45–49,416
Actual,Melanoma of the skin,2004,Females,50–54,420
Actual,Melanoma of the skin,2004,Females,55–59,458
Actual,Melanoma of the skin,2004,Females,60–64,401
Actual,Melanoma of the skin,2004,Females,65–69,368
Actual,Melanoma of the skin,2004,Females,70–74,319
Actual,Melanoma of the skin,2004,Females,75–79,353
Actual,Melanoma of the skin,2004,Females,80–84,254
Actual,Melanoma of the skin,2004,Females,85–89,168
Actual,Melanoma of the skin,2004,Females,90+,83
Actual,Melanoma of the skin,2005,Females,00–04,0
Actual,Melanoma of the skin,2005,Females,05–09,1
Actual,Melanoma of the skin,2005,Females,10–14,4
Actual,Melanoma of the skin,2005,Females,15–19,28
Actual,Melanoma of the skin,2005,Females,20–24,77
Actual,Melanoma of the skin,2005,Females,25–29,168
Actual,Melanoma of the skin,2005,Females,30–34,238
Actual,Melanoma of the skin,2005,Females,35–39,256
Actual,Melanoma of the skin,2005,Females,40–44,376
Actual,Melanoma of the skin,2005,Females,45–49,425
Actual,Melanoma of the skin,2005,Females,50–54,443
Actual,Melanoma of the skin,2005,Females,55–59,466
Actual,Melanoma of the skin,2005,Females,60–64,442
Actual,Melanoma of the skin,2005,Females,65–69,431
Actual,Melanoma of the skin,2005,Females,70–74,364
Actual,Melanoma of the skin,2005,Females,75–79,371
Actual,Melanoma of the skin,2005,Females,80–84,326
Actual,Melanoma of the skin,2005,Females,85–89,166
Actual,Melanoma of the skin,2005,Females,90+,111
Actual,Melanoma of the skin,2006,Females,00–04,0
Actual,Melanoma of the skin,2006,Females,05–09,0
Actual,Melanoma of the skin,2006,Females,10–14,3
Actual,Melanoma of the skin,2006,Females,15–19,27
Actual,Melanoma of the skin,2006,Females,20–24,79
Actual,Melanoma of the skin,2006,Females,25–29,140
Actual,Melanoma of the skin,2006,Females,30–34,210
Actual,Melanoma of the skin,2006,Females,35–39,244
Actual,Melanoma of the skin,2006,Females,40–44,301
Actual,Melanoma of the skin,2006,Females,45–49,372
Actual,Melanoma of the skin,2006,Females,50–54,393
Actual,Melanoma of the skin,2006,Females,55–59,448
Actual,Melanoma of the skin,2006,Females,60–64,369
Actual,Melanoma of the skin,2006,Females,65–69,380
Actual,Melanoma of the skin,2006,Females,70–74,350
Actual,Melanoma of the skin,2006,Females,75–79,399
Actual,Melanoma of the skin,2006,Females,80–84,300
Actual,Melanoma of the skin,2006,Females,85–89,184
Actual,Melanoma of the skin,2006,Females,90+,122
Actual,Melanoma of the skin,2007,Females,00–04,0
Actual,Melanoma of the skin,2007,Females,05–09,1
Actual,Melanoma of the skin,2007,Females,10–14,4
Actual,Melanoma of the skin,2007,Females,15–19,20
Actual,Melanoma of the skin,2007,Females,20–24,83
Actual,Melanoma of the skin,2007,Females,25–29,117
Actual,Melanoma of the skin,2007,Females,30–34,183
Actual,Melanoma of the skin,2007,Females,35–39,288
Actual,Melanoma of the skin,2007,Females,40–44,331
Actual,Melanoma of the skin,2007,Females,45–49,420
Actual,Melanoma of the skin,2007,Females,50–54,402
Actual,Melanoma of the skin,2007,Females,55–59,450
Actual,Melanoma of the skin,2007,Females,60–64,426
Actual,Melanoma of the skin,2007,Females,65–69,364
Actual,Melanoma of the skin,2007,Females,70–74,344
Actual,Melanoma of the skin,2007,Females,75–79,361
Actual,Melanoma of the skin,2007,Females,80–84,331
Actual,Melanoma of the skin,2007,Females,85–89,186
Actual,Melanoma of the skin,2007,Females,90+,100
Actual,Melanoma of the skin,2008,Females,00–04,0
Actual,Melanoma of the skin,2008,Females,05–09,1
Actual,Melanoma of the skin,2008,Females,10–14,2
Actual,Melanoma of the skin,2008,Females,15–19,19
Actual,Melanoma of the skin,2008,Females,20–24,80
Actual,Melanoma of the skin,2008,Females,25–29,120
Actual,Melanoma of the skin,2008,Females,30–34,187
Actual,Melanoma of the skin,2008,Females,35–39,280
Actual,Melanoma of the skin,2008,Females,40–44,318
Actual,Melanoma of the skin,2008,Females,45–49,404
Actual,Melanoma of the skin,2008,Females,50–54,458
Actual,Melanoma of the skin,2008,Females,55–59,498
Actual,Melanoma of the skin,2008,Females,60–64,487
Actual,Melanoma of the skin,2008,Females,65–69,406
Actual,Melanoma of the skin,2008,Females,70–74,374
Actual,Melanoma of the skin,2008,Females,75–79,345
Actual,Melanoma of the skin,2008,Females,80–84,325
Actual,Melanoma of the skin,2008,Females,85–89,190
Actual,Melanoma of the skin,2008,Females,90+,110
Actual,Melanoma of the skin,2009,Females,00–04,0
Actual,Melanoma of the skin,2009,Females,05–09,1
Actual,Melanoma of the skin,2009,Females,10–14,3
Actual,Melanoma of the skin,2009,Females,15–19,28
Actual,Melanoma of the skin,2009,Females,20–24,76
Actual,Melanoma of the skin,2009,Females,25–29,124
Actual,Melanoma of the skin,2009,Females,30–34,176
Actual,Melanoma of the skin,2009,Females,35–39,256
Actual,Melanoma of the skin,2009,Females,40–44,317
Actual,Melanoma of the skin,2009,Females,45–49,414
Actual,Melanoma of the skin,2009,Females,50–54,422
Actual,Melanoma of the skin,2009,Females,55–59,473
Actual,Melanoma of the skin,2009,Females,60–64,513
Actual,Melanoma of the skin,2009,Females,65–69,411
Actual,Melanoma of the skin,2009,Females,70–74,402
Actual,Melanoma of the skin,2009,Females,75–79,401
Actual,Melanoma of the skin,2009,Females,80–84,347
Actual,Melanoma of the skin,2009,Females,85–89,230
Actual,Melanoma of the skin,2009,Females,90+,116
Actual,Melanoma of the skin,2010,Females,00–04,1
Actual,Melanoma of the skin,2010,Females,05–09,2
Actual,Melanoma of the skin,2010,Females,10–14,3
Actual,Melanoma of the skin,2010,Females,15–19,13
Actual,Melanoma of the skin,2010,Females,20–24,61
Actual,Melanoma of the skin,2010,Females,25–29,143
Actual,Melanoma of the skin,2010,Females,30–34,167
Actual,Melanoma of the skin,2010,Females,35–39,234
Actual,Melanoma of the skin,2010,Females,40–44,316
Actual,Melanoma of the skin,2010,Females,45–49,379
Actual,Melanoma of the skin,2010,Females,50–54,441
Actual,Melanoma of the skin,2010,Females,55–59,461
Actual,Melanoma of the skin,2010,Females,60–64,526
Actual,Melanoma of the skin,2010,Females,65–69,508
Actual,Melanoma of the skin,2010,Females,70–74,376
Actual,Melanoma of the skin,2010,Females,75–79,367
Actual,Melanoma of the skin,2010,Females,80–84,337
Actual,Melanoma of the skin,2010,Females,85–89,259
Actual,Melanoma of the skin,2010,Females,90+,120
Actual,Melanoma of the skin,2011,Females,00–04,0
Actual,Melanoma of the skin,2011,Females,05–09,2
Actual,Melanoma of the skin,2011,Females,10–14,2
Actual,Melanoma of the skin,2011,Females,15–19,20
Actual,Melanoma of the skin,2011,Females,20–24,59
Actual,Melanoma of the skin,2011,Females,25–29,115
Actual,Melanoma of the skin,2011,Females,30–34,138
Actual,Melanoma of the skin,2011,Females,35–39,273
Actual,Melanoma of the skin,2011,Females,40–44,311
Actual,Melanoma of the skin,2011,Females,45–49,397
Actual,Melanoma of the skin,2011,Females,50–54,424
Actual,Melanoma of the skin,2011,Females,55–59,463
Actual,Melanoma of the skin,2011,Females,60–64,544
Actual,Melanoma of the skin,2011,Females,65–69,545
Actual,Melanoma of the skin,2011,Females,70–74,471
Actual,Melanoma of the skin,2011,Females,75–79,345
Actual,Melanoma of the skin,2011,Females,80–84,371
Actual,Melanoma of the skin,2011,Females,85–89,245
Actual,Melanoma of the skin,2011,Females,90+,131
Actual,Melanoma of the skin,2012,Females,00–04,0
Actual,Melanoma of the skin,2012,Females,05–09,0
Actual,Melanoma of the skin,2012,Females,10–14,2
Actual,Melanoma of the skin,2012,Females,15–19,18
Actual,Melanoma of the skin,2012,Females,20–24,63
Actual,Melanoma of the skin,2012,Females,25–29,131
Actual,Melanoma of the skin,2012,Females,30–34,182
Actual,Melanoma of the skin,2012,Females,35–39,249
Actual,Melanoma of the skin,2012,Females,40–44,347
Actual,Melanoma of the skin,2012,Females,45–49,396
Actual,Melanoma of the skin,2012,Females,50–54,469
Actual,Melanoma of the skin,2012,Females,55–59,491
Actual,Melanoma of the skin,2012,Females,60–64,551
Actual,Melanoma of the skin,2012,Females,65–69,564
Actual,Melanoma of the skin,2012,Females,70–74,431
Actual,Melanoma of the skin,2012,Females,75–79,393
Actual,Melanoma of the skin,2012,Females,80–84,350
Actual,Melanoma of the skin,2012,Females,85–89,289
Actual,Melanoma of the skin,2012,Females,90+,168
Actual,Melanoma of the skin,2013,Females,00–04,1
Actual,Melanoma of the skin,2013,Females,05–09,1
Actual,Melanoma of the skin,2013,Females,10–14,4
Actual,Melanoma of the skin,2013,Females,15–19,20
Actual,Melanoma of the skin,2013,Females,20–24,60
Actual,Melanoma of the skin,2013,Females,25–29,136
Actual,Melanoma of the skin,2013,Females,30–34,188
Actual,Melanoma of the skin,2013,Females,35–39,249
Actual,Melanoma of the skin,2013,Females,40–44,362
Actual,Melanoma of the skin,2013,Females,45–49,398
Actual,Melanoma of the skin,2013,Females,50–54,510
Actual,Melanoma of the skin,2013,Females,55–59,513
Actual,Melanoma of the skin,2013,Females,60–64,525
Actual,Melanoma of the skin,2013,Females,65–69,601
Actual,Melanoma of the skin,2013,Females,70–74,475
Actual,Melanoma of the skin,2013,Females,75–79,441
Actual,Melanoma of the skin,2013,Females,80–84,395
Actual,Melanoma of the skin,2013,Females,85–89,294
Actual,Melanoma of the skin,2013,Females,90+,181
Actual,Melanoma of the skin,2014,Females,00–04,1
Actual,Melanoma of the skin,2014,Females,05–09,0
Actual,Melanoma of the skin,2014,Females,10–14,1
Actual,Melanoma of the skin,2014,Females,15–19,19
Actual,Melanoma of the skin,2014,Females,20–24,62
Actual,Melanoma of the skin,2014,Females,25–29,117
Actual,Melanoma of the skin,2014,Females,30–34,185
Actual,Melanoma of the skin,2014,Females,35–39,220
Actual,Melanoma of the skin,2014,Females,40–44,381
Actual,Melanoma of the skin,2014,Females,45–49,439
Actual,Melanoma of the skin,2014,Females,50–54,536
Actual,Melanoma of the skin,2014,Females,55–59,499
Actual,Melanoma of the skin,2014,Females,60–64,559
Actual,Melanoma of the skin,2014,Females,65–69,660
Actual,Melanoma of the skin,2014,Females,70–74,522
Actual,Melanoma of the skin,2014,Females,75–79,458
Actual,Melanoma of the skin,2014,Females,80–84,376
Actual,Melanoma of the skin,2014,Females,85–89,279
Actual,Melanoma of the skin,2014,Females,90+,186
Actual,Melanoma of the skin,2015,Females,00–04,0
Actual,Melanoma of the skin,2015,Females,05–09,1
Actual,Melanoma of the skin,2015,Females,10–14,1
Actual,Melanoma of the skin,2015,Females,15–19,13
Actual,Melanoma of the skin,2015,Females,20–24,57
Actual,Melanoma of the skin,2015,Females,25–29,145
Actual,Melanoma of the skin,2015,Females,30–34,194
Actual,Melanoma of the skin,2015,Females,35–39,229
Actual,Melanoma of the skin,2015,Females,40–44,359
Actual,Melanoma of the skin,2015,Females,45–49,415
Actual,Melanoma of the skin,2015,Females,50–54,525
Actual,Melanoma of the skin,2015,Females,55–59,529
Actual,Melanoma of the skin,2015,Females,60–64,604
Actual,Melanoma of the skin,2015,Females,65–69,699
Actual,Melanoma of the skin,2015,Females,70–74,549
Actual,Melanoma of the skin,2015,Females,75–79,518
Actual,Melanoma of the skin,2015,Females,80–84,390
Actual,Melanoma of the skin,2015,Females,85–89,315
Actual,Melanoma of the skin,2015,Females,90+,174
Actual,Melanoma of the skin,2016,Females,00–04,2
Actual,Melanoma of the skin,2016,Females,05–09,0
Actual,Melanoma of the skin,2016,Females,10–14,2
Actual,Melanoma of the skin,2016,Females,15–19,20
Actual,Melanoma of the skin,2016,Females,20–24,61
Actual,Melanoma of the skin,2016,Females,25–29,149
Actual,Melanoma of the skin,2016,Females,30–34,212
Actual,Melanoma of the skin,2016,Females,35–39,275
Actual,Melanoma of the skin,2016,Females,40–44,343
Actual,Melanoma of the skin,2016,Females,45–49,448
Actual,Melanoma of the skin,2016,Females,50–54,513
Actual,Melanoma of the skin,2016,Females,55–59,557
Actual,Melanoma of the skin,2016,Females,60–64,638
Actual,Melanoma of the skin,2016,Females,65–69,760
Actual,Melanoma of the skin,2016,Females,70–74,616
Actual,Melanoma of the skin,2016,Females,75–79,514
Actual,Melanoma of the skin,2016,Females,80–84,376
Actual,Melanoma of the skin,2016,Females,85–89,348
Actual,Melanoma of the skin,2016,Females,90+,194